barcode,description
8410069018687,SALSA GALLO NAPOLITANA 350G
8410069018724,24.SALSA GALLO BOLOÑESA 350G EXTRA
8410069018731,SALSA GALLO BOLOÑESA 350G
5410041143508,08.GALLETA.LU.TUC.BACON
7622300571351,51.GALLETA.LU.TUC.QUESO.100G
8480012011621,ALUBIAS IFA JUDION T/570G
8412600037348,48.PAN.ORTIZ.INTEGRAL
8410069018953,TALLARINES GALLO 450G
8410069021212,SPEGHETTI GALLO 250G
8411700005004,LECHE POLEVA BOT 1.5 L ENTERA
8412666564000,LA BARRCA CRISTAL PTA NEGRA MDA
8412666584008,LA BARRCA CRISTAL PIÑONES
8412666514005,LA BARRCA CRISTAL PIMENTO DULCE
8412666013041,LA BARRCA CRUSTAL MOLIN PTA NEGRA
8412666016752,LA BARRCA CRISTAL MOLIN 5 PEMIENTO
8412666200168,LA BARRCA CRISTAL MOLIN PAR CARN
8412666012655,LA BARRCA CRISTAL FIDEOS CHOCOLATE
8412666010729,LA BARRCA CRISTAL 65GR BOLITAS CO
8412666524004,LA BARRCA CRISTAL PIMENTON PICANTE
8412666374005,LA BARRCA CRISTAL HEIRBA PROV
8480012010921,MELOCOTON IFA 840GR 6/8 P
8480012010969,69.COCKTAIL.IFA.ALMIBAR.840G
8480012010976,PERA IFA 840GR ALMIBAR
8480012011010,10.PIÑA.RODAJA.IFA.820GR
8480012017067,SAL IFA FINA 1KG YODADA
8480012017050,SAL IFA GRUESA 2KG HORNO
5410041001204,04.GALLTA.LU.TUC.ORIGINAL
8480012010297,97.PANCILLOS IFA 160G AJO P
7622201122836,GELATINA ROYAL 114G  PIÑA
7622201121013,13.GELATINA ROYAL 114G FRESA
7622201122683,GELATINA ROYAL 114G LIMON
8420309400905,PATATA COCIDA ALSUR 425G
8410706004462,PICATOSTES RECONDO 80G NATURAL
8412600022665,TOSTAS MINI ORTIZ 90G ARANDANO
8410076473431,MINI BARQUITAS OLD ELPASO 145G
84100016,FLAN ROYAL CARAMELO LIQUIDO 93G
8480012029107,07.TORTILLAS.TRI.IFA.320G
8410100000220,LECHE COND LA LECHERA 170G
8480012037577,PATAT IFA CHIPS 150G
8480012037591,91.P.F.ONDULADAS
8480012037645,45.PATATA.F.JAMON.IFA.170
8480012037607,PATATA IFA 150G CAMPESINA
8411700001587,LECHE SIN LECTOSA BOT 1L ENTERA
8410132106167,CHOCOLATE RAM A LA TAZA 1L
8480012011218,18.GANCHITOS.QUESO.IFA.80G
8480012011331,31.BOLAS.QUESO.IFA.80G
8420209019498,98.VINO BLANCO GRAN 1L
8410261273402,VINO BLANCO D SIMON 3/187ML PACK
8412666477003,LA BARRACA NORAS SECA CAJITA
8410184077217,ARROZ BRILLANTE 500G
